cell_id,checkpoint,component,ecology,mean_accuracy
C1,0,1,AFFINE_BOOLEAN_V1,0.4713541666666667
C1,0,2,AFFINE_BOOLEAN_V1,0.50390625
C1,0,3,AFFINE_BOOLEAN_V1,0.51953125
C1,16,1,AFFINE_BOOLEAN_V1,0.5130208333333334
C1,16,2,AFFINE_BOOLEAN_V1,0.49609375
C1,16,3,AFFINE_BOOLEAN_V1,0.4895833333333333
C1,32,1,AFFINE_BOOLEAN_V1,0.5260416666666666
C1,32,2,AFFINE_BOOLEAN_V1,0.5481770833333334
C1,32,3,AFFINE_BOOLEAN_V1,0.5169270833333334
C1,64,1,AFFINE_BOOLEAN_V1,0.546875
C1,64,2,AFFINE_BOOLEAN_V1,0.5169270833333334
C1,64,3,AFFINE_BOOLEAN_V1,0.4934895833333333
C1,128,1,AFFINE_BOOLEAN_V1,0.5416666666666666
C1,128,2,AFFINE_BOOLEAN_V1,0.5286458333333334
C1,128,3,AFFINE_BOOLEAN_V1,0.55078125
C2,0,1,AFFINE_BOOLEAN_V1,0.4713541666666667
C2,0,2,AFFINE_BOOLEAN_V1,0.50390625
C2,0,3,AFFINE_BOOLEAN_V1,0.51953125
C2,16,1,AFFINE_BOOLEAN_V1,0.5078125
C2,16,2,AFFINE_BOOLEAN_V1,0.515625
C2,16,3,AFFINE_BOOLEAN_V1,0.5078125
C2,32,1,AFFINE_BOOLEAN_V1,0.5325520833333334
C2,32,2,AFFINE_BOOLEAN_V1,0.49609375
C2,32,3,AFFINE_BOOLEAN_V1,0.5234375
C2,64,1,AFFINE_BOOLEAN_V1,0.5494791666666666
C2,64,2,AFFINE_BOOLEAN_V1,0.5052083333333334
C2,64,3,AFFINE_BOOLEAN_V1,0.5130208333333334
C2,128,1,AFFINE_BOOLEAN_V1,0.5520833333333334
C2,128,2,AFFINE_BOOLEAN_V1,0.5221354166666666
C2,128,3,AFFINE_BOOLEAN_V1,0.5013020833333334
C3,0,1,AFFINE_BOOLEAN_V1,0.4713541666666667
C3,0,2,AFFINE_BOOLEAN_V1,0.50390625
C3,0,3,AFFINE_BOOLEAN_V1,0.51953125
C3,16,1,AFFINE_BOOLEAN_V1,0.5130208333333334
C3,16,2,AFFINE_BOOLEAN_V1,0.4921875
C3,16,3,AFFINE_BOOLEAN_V1,0.4973958333333333
C3,32,1,AFFINE_BOOLEAN_V1,0.5234375
C3,32,2,AFFINE_BOOLEAN_V1,0.515625
C3,32,3,AFFINE_BOOLEAN_V1,0.5026041666666666
C3,64,1,AFFINE_BOOLEAN_V1,0.5403645833333334
C3,64,2,AFFINE_BOOLEAN_V1,0.53515625
