beta,cell_id,ecology,epsilon,g_excess_obs,g_excess_obs_joint,g_obs,g_obs_joint,k,psi_bit_0,psi_bit_128,psi_bit_16,psi_bit_32,psi_bit_64,psi_joint_0,psi_joint_128,psi_joint_16,psi_joint_32,psi_joint_64,q_share,seed
0.0,C0,AFFINE_BOOLEAN_V1,0.1,0.0,0.0,0.004177114622034932,-0.0006023095352372782,8,0.005323621961805555,0.005805121527777779,0.004672580295138889,0.011338975694444444,0.006727430555555557,0.00885009765625,0.004638671875,0.0107421875,0.006103515625,0.00933837890625,0.0,99103
4.0,C1,AFFINE_BOOLEAN_V1,0.1,-0.010454043212796036,0.0217332368674515,-0.006276928590761103,0.021130927332214222,8,0.005323621961805555,0.004347059461805556,0.006863064236111112,0.00434027777777778,0.004726833767361109,0.00885009765625,0.009765625,0.00390625,0.012451171875,0.0126953125,0.0,99103
8.0,C2,AFFINE_BOOLEAN_V1,0.1,-0.024015924754929304,0.006186163593552377,-0.01983881013289437,0.005583854058315099,8,0.005323621961805555,0.003065321180555556,0.006917317708333336,0.008409288194444444,0.00295681423611111,0.00885009765625,0.00250244140625,0.00732421875,0.0068359375,0.00927734375,0.0,99103
12.0,C3,AFFINE_BOOLEAN_V1,0.1,-0.012003575268773919,0.010629818307409328,-0.007826460646738987,0.01002750877217205,8,0.005323621961805555,0.007459852430555557,0.007758246527777778,0.009114583333333334,0.00564236111111111,0.00885009765625,0.00592041015625,0.004638671875,0.00933837890625,0.00836181640625,0.0,99103
20.0,C4,AFFINE_BOOLEAN_V1,0.1,-0.0038925287668581834,0.011295642400535112,0.0002845858551767488,0.010693332865297833,8,0.005323621961805555,0.00347900390625,0.004075792100694444,0.005615234374999998,0.004401312934027777,0.00885009765625,0.006591796875,0.006103515625,0.00299072265625,0.008544921875,0.0,99103
16.0,C5,AFFINE_BOOLEAN_V1,0.55,-0.018534602066282296,-0.008245811088588208,-0.014357487444247365,-0.008848120623825487,8,0.005323621961805555,0.006625705295138888,0.012702094184027778,0.009663899739583334,0.00632052951388889,0.00885009765625,0.01568603515625,0.008056640625,0.006103515625,0.005126953125,0.0,99103
12.0,C6,AFFINE_BOOLEAN_V1,0.1,-0.009672414769644363,0.0013790138530990223,-0.005495300147609431,0.0007767043178617441,8,0.005323621961805555,0.002339680989583334,0.009684244791666664,0.0033908420138888903,0.00613742404513889,0.00885009765625,0.009033203125,0.0087890625,0.002197265625,0.00689697265625,0.5,99103
12.0,C7,AFFINE_BOOLEAN_V1,0.1,0.007571080033002188,0.027793469174997813,0.01174819465503712,0.027191159639760536,8,0.005323621961805555,0.001817491319444444,0.0010850694444444443,0.003580729166666666,0.002332899305555555,0.00885009765625,0.00250244140625,0.00103759765625,0.00689697265625,0.005126953125,1.0,99103
0.0,C0,AFFINE_BOOLEAN_V1,0.1,0.0,0.0,-0.0004161078709293452,-0.019105142051047786,8,0.0021226671006944454,0.004882812500000001,0.005018446180555556,0.006130642361111112,0.005126953125,0.003173828125,0.006591796875,0.01617431640625,0.0029296875,0.0048828125,0.0,99104
4.0,C1,AFFINE_BOOLEAN_V1,0.1,0.008667303960376828,0.027624066542103747,0.008251196089447483,0.00851892449105596,8,0.0021226671006944454,0.004475911458333335,0.0038519965277777767,0.007731119791666667,0.00640869140625,0.003173828125,0.002197265625,0.001953125,0.010009765625,0.00396728515625,0.0,99104
8.0,C2,AFFINE_BOOLEAN_V1,0.1,0.005800857145662574,0.021277620334630525,0.0053847492747332295,0.002172478283582739,8,0.0021226671006944454,0.006347656250000002,0.007276746961805556,0.0025566948784722225,0.007514105902777778,0.003173828125,0.007568359375,0.00830078125,0.00439453125,0.008056640625,0.0,99104
12.0,C3,AFFINE_BOOLEAN_V1,0.1,-0.015954157512996104,0.0034032360093487132,-0.01637026538392545,-0.015701906041699073,8,0.0021226671006944454,0.005757649739583334,0.006537543402777778,0.006130642361111111,0.003099229600694445,0.003173828125,0.0068359375,0.01373291015625,0.009765625,0.00634765625,0.0,99104
20.0,C4,AFFINE_BOOLEAN_V1,0.1,0.01780539131140286,0.008855915100023337,0.017389283440473514,-0.010249226951024449,8,0.0021226671006944454,0.0038587782118055564,0.006245930989583336,0.005486382378472222,0.013264973958333334,0.003173828125,0.01031494140625,0.0146484375,0.00732421875,0.008056640625,0.0,99104
16.0,C5,AFFINE_BOOLEAN_V1,0.55,-0.007163493646301599,0.02193951359775031,-0.007579601517230944,0.0028343715467025223,8,0.0021226671006944454,0.004720052083333334,0.006679958767361112,0.0024956597222222225,0.00390625,0.003173828125,0.004638671875,0.0087890625,0.006103515625,0.00927734375,0.0,99104
12.0,C6,AFFINE_BOOLEAN_V1,0.1,-0.026134339069683037,-0.0050883995435243475,-0.02655044694061238,-0.024193541594572134,8,0.0021226671006944454,0.010904947916666668,0.009663899739583332,0.0027398003472222233,0.002285427517361112,0.003173828125,0.0166015625,0.013916015625,0.00592041015625,0.00396728515625,0.5,99104
12.0,C7,AFFINE_BOOLEAN_V1,0.1,-0.007406158767811194,0.0005458803801202707,-0.00782226663874054,-0.018559261670927515,8,0.0021226671006944454,0.001844618055555555,0.0019531250000000004,0.001200358072916666,0.0012478298611111112,0.003173828125,0.00299072265625,0.00341796875,0.0068359375,0.001708984375,1.0,99104
